Test, Result Name, Result Value, Comment
Execution Time Test, AES-256-CTR encrypt 1024 bytes Test 4, 0.011495832, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1024 bytes Test 5, 0.012848189, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1024 bytes Test 6, 0.010634365, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1024 bytes Test 7, 0.010396965, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1024 bytes MIN, 0.008761366, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1024 bytes MAX, 0.012848189, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-256-CTR encrypt 1024 bytes AVG, 0.010649223624999997, aes-ctr/target/release/aes-ctr -c encrypt -k b0509f4eff8fb5b105cff729430b119ac8d0fc05daaaccafe9da01d2b6fdb8f5 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1048576 bytes Test 0, 0.766772865, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1048576 bytes Test 1, 0.769101678, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
Execution Time Test, AES-128-CTR encrypt 1048576 bytes Test 2, 0.771680539, aes-ctr/target/release/aes-ctr -c encrypt -k f3d2e72d388c193b866ec0f841a1e845 -v 10bc3ce5fadfdb053eb7fb937eb81615 -i perf-test.tmp -o perf-test.out.tmp
